DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,DESCRIPCION CONDUCTA,CANTIDAD
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,19/04/2010,MASCULINO,MENORES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,TARAZÁ,5790000,-,20/04/2010,FEMENINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
CASANARE,TAURAMENA,85410000,ARMA BLANCA / CORTOPUNZANTE,21/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,CIUDAD BOLÍVAR,5101000,ARMA BLANCA / CORTOPUNZANTE,22/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
SUCRE,SAN ONOFRE,70713000,ARMA BLANCA / CORTOPUNZANTE,22/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
PUTUMAYO,VILLAGARZÓN,86885000,ARMA BLANCA / CORTOPUNZANTE,28/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,ARAUCA (CT),81001000,ARMA BLANCA / CORTOPUNZANTE,02/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
TOLIMA,IBAGUÉ (CT),73001000,ARMA BLANCA / CORTOPUNZANTE,02/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,CAÑASGORDAS,5138000,ARMA BLANCA / CORTOPUNZANTE,05/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,2
CAUCA,SAN SEBASTIÁN,19693000,NO REPORTADO,08/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,FUSAGASUGÁ,25290000,ARMA BLANCA / CORTOPUNZANTE,08/05/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
GUAJIRA,MAICAO,44430000,NO REPORTADO,08/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,16/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,-,17/05/2010,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
SANTANDER,SABANA DE TORRES,68655000,ARMA BLANCA / CORTOPUNZANTE,20/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
SANTANDER,SURATÁ,68780000,ARMA BLANCA / CORTOPUNZANTE,22/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAQUETÁ,SOLANO,18756000,NO REPORTADO,23/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,ROLDANILLO,76622000,NO REPORTADO,25/05/2010,MASCULINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,28/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
HUILA,ISNOS,41359000,SIN EMPLEO DE ARMAS,31/05/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,SARAVENA,81736000,NO REPORTADO,02/06/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,02/06/2010,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,BARBACOAS,52079000,ARMA BLANCA / CORTOPUNZANTE,03/06/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,07/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,TADÓ,27787000,SIN EMPLEO DE ARMAS,08/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,TADÓ,27787000,SIN EMPLEO DE ARMAS,08/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,TADÓ,27787000,SIN EMPLEO DE ARMAS,08/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,MEDELLÍN (CT),5001000,NO REPORTADO,10/06/2010,MASCULINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,CALI (CT),76001000,ESPOSAS,12/06/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
META,VILLAVICENCIO (CT),50001000,NO REPORTADO,15/06/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,NO REPORTADO,16/06/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAUCA,TOTORÓ,19824000,ARMA DE FUEGO,18/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CALDAS,ANSERMA,17042000,NO REPORTADO,19/06/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ANTIOQUIA,MEDELLÍN (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,22/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
BOYACÁ,BUENAVISTA,15109000,-,23/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
PUTUMAYO,PUERTO GUZMÁN,86571000,ARMA BLANCA / CORTOPUNZANTE,23/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,BUENAVENTURA,76109000,NO REPORTADO,24/06/2010,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
MAGDALENA,SANTA MARTA (CT),47001000,NO REPORTADO,25/06/2010,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,TULUÁ,76834000,NO REPORTADO,25/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CALDAS,MANIZALES (CT),17001000,NO REPORTADO,26/06/2010,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAUCA,PIENDAMÓ,19548000,ARMA BLANCA / CORTOPUNZANTE,26/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,QUIBDÓ (CT),27001000,NO REPORTADO,27/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAUCA,SANTANDER DE QUILICHAO,19698000,NO REPORTADO,28/06/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,MEDELLÍN (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,01/07/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,BAJO BAUDÓ,27077000,ARMA BLANCA / CORTOPUNZANTE,05/07/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,MEDINA,25438000,ARMA BLANCA / CORTOPUNZANTE,06/07/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,TÚQUERRES,52838000,ARMA BLANCA / CORTOPUNZANTE,07/07/2010,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,TÚQUERRES,52838000,ARMA BLANCA / CORTOPUNZANTE,07/07/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NORTE DE SANTANDER,TEORAMA,54800000,ARMA BLANCA / CORTOPUNZANTE,09/07/2010,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,2
NORTE DE SANTANDER,TEORAMA,54800000,ARMA BLANCA / CORTOPUNZANTE,09/07/2010,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NORTE DE SANTANDER,TEORAMA,54800000,ARMA BLANCA / CORTOPUNZANTE,09/07/2010,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CALDAS,CHINCHINÁ,17174000,NO REPORTADO,10/07/2010,FEMENINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
CESAR,AGUACHICA,20011000,ARMA BLANCA / CORTOPUNZANTE,14/07/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA BLANCA / CORTOPUNZANTE,17/07/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,CALI (CT),76001000,NO REPORTADO,18/07/2010,FEMENINO,MENORES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,19/07/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA BLANCA / CORTOPUNZANTE,22/07/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,22/07/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,APARTADÓ,5045000,ARMA BLANCA / CORTOPUNZANTE,23/07/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,BELLO,5088000,SIN EMPLEO DE ARMAS,23/07/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
BOYACÁ,CERINZA,15162000,ARMA BLANCA / CORTOPUNZANTE,24/07/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CASANARE,YOPAL (CT),85001000,ARMA BLANCA / CORTOPUNZANTE,24/07/2010,FEMENINO,MENORES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,YOPAL (CT),85001000,ARMA BLANCA / CORTOPUNZANTE,24/07/2010,FEMENINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
HUILA,PITALITO,41551000,ARMA BLANCA / CORTOPUNZANTE,24/07/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
GUAJIRA,MAICAO,44430000,ARMA BLANCA / CORTOPUNZANTE,31/07/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAUCA,PIAMONTE,19533000,ARMA BLANCA / CORTOPUNZANTE,02/08/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA BLANCA / CORTOPUNZANTE,02/08/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,IPIALES,52356000,ARMA BLANCA / CORTOPUNZANTE,02/08/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,YUMBO,76892000,ARMA BLANCA / CORTOPUNZANTE,02/08/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAQUETÁ,FLORENCIA (CT),18001000,NO REPORTADO,03/08/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
